column,attribute,side,total_rows,present_count,coverage_pct
id,id,alt,2000,2000,100.0
base_id,id,base,2000,2000,100.0
sources,sources,alt,2000,2000,100.0
names,names,alt,2000,2000,100.0
categories,categories,alt,2000,1984,99.2
confidence,confidence,alt,2000,2000,100.0
websites,websites,alt,2000,1665,83.25
socials,socials,alt,2000,1392,69.6
emails,emails,alt,2000,0,0.0
phones,phones,alt,2000,1881,94.05
brand,brand,alt,2000,704,35.2
addresses,addresses,alt,2000,2000,100.0
base_sources,sources,base,2000,2000,100.0
base_names,names,base,2000,2000,100.0
base_categories,categories,base,2000,1988,99.4
base_confidence,confidence,base,2000,2000,100.0
base_websites,websites,base,2000,1492,74.6
base_socials,socials,base,2000,1017,50.85
base_emails,emails,base,2000,219,10.95
base_phones,phones,base,2000,1700,85.0
base_brand,brand,base,2000,1954,97.7
base_addresses,addresses,base,2000,2000,100.0
