short_name,long_name,extra_content,biz_matches,city
Bythams Community Shop,Bythams Community Shop & Cafe,cafe,cafe,Grantham
Royce Rolls,Royce Rolls Cafe,cafe,cafe,
Cella Café,Cella Café Bar & Restaurant,bar restaurant,"bar, restaurant",Bad Zell
Calico Jacks,Calico Jack's Bistro,bistro,bistro,Endingen am Kaiserstuhl
Bank of America ATM,Bank Of America ATM Center,center,center,Richmond Heights
Hollyhock Hill,Hollyhock Hill Restaurant,restaurant,restaurant,Indianapolis
Fantastic Nails,Fantastic Nails & Spa,spa,spa,Westminster
Alfred P. Murrah Federal Building,Alfred P. Murrah Federal Building Plaza,plaza,plaza,Oklahoma City
Wing Sing,Wing Sing Bar,bar,bar,Philomath
Instyle nails,Instyle Nails and Spa,and spa,spa,West Hollywood
Right Aid Home Care,Right Aid Home Care Agency,agency,agency,Philadelphia
Pharmacare Drugs,Pharmacare Drugs Pharmacy,pharmacy,pharmacy,Ypsilanti Twp
Industria Pizzeria,Industria Pizzeria + Bar,bar,bar,Blainville
Les Hospitaliers,Les Hospitaliers Hotel,hotel,hotel,Le Poët-Laval
Discount Tire,Discount Tire® Store,store,store,Katy
Bahama Bay Resort,Bahama Bay Resort & Spa,spa,spa,Davenport
Dothan Nails,Dothan Nails Spa,spa,spa,Dothan
Austin Lone Star,Austin Lone Star RV Resort,rv resort,resort,Austin
West Texas Lifestyle & Rehab,West Texas Lifestyle & Rehab Center,center,center,Denver City
Cheiro da Serra,Cheiro da Serra Store,store,store,Nova Friburgo
Smiley Mocktail Bar,Smiley Mocktail Bar & Cafe,cafe,cafe,Adelaide
Vivian Medical,Vivian Medical Centre,centre,centre,New Plymouth
Bluebell Physiotherapy,Bluebell Physiotherapy Centre,centre,centre,Chatham
See's Candies,See's Candies Chocolate Shop,chocolate shop,"chocolate, shop",Jurupa Valley
Chinese Foot Massage & Body Relax,Chinese Foot Massage & Body Relax Spa,spa,spa,Galesburg
Expressions Floral Design,Expressions Floral Design Studio,studio,studio,Columbus
El Dorado Hills Sports Club,El Dorado Hills Sports Club and Spa,and spa,spa,El Dorado Hills
Southland Casino,Southland Casino Hotel,hotel,hotel,West Memphis
Giant Eagle,Giant Eagle Supermarket,supermarket,supermarket,Finleyville
Giant Eagle,Giant Eagle Supermarket,supermarket,supermarket,Pittsburgh
Wells Fargo,Wells Fargo Bank,bank,bank,Wichita Falls
Työväen Akatemia,Työväen Akatemian kirjasto,n kirjasto,kirjasto,Kauniainen
Leonora Rose,Leonora Rose Florists,florists,florists,Leeds
Momo and Co.,Momo and Co. Design,design,design,London
Aldak GmbH,ALDAK GmbH VIBRATIONSTECHNIK,vibrationstechnik,vibrationstechnik,Troisdorf
Wohnungsauflösungen Schenk,Wohnungsauflösungen Schenk Ankauf und Verkauf,ankauf und verkauf,"ankauf, verkauf",Selb
Eat Happy,Eat Happy Sushi & asiatische Spezialitäten,sushi asiatische spezialitaten,sushi,Speyer
Remington Heights,Remington Heights Retirement Community,retirement community,"community, retirement",Omaha
English Rows Dental,English Rows Dental Group,group,group,Naperville
Clarkston High School,Clarkston High School Natatorium,natatorium,natatorium,Clarkston
Safety Kleen,Safety-Kleen Systems,safetykleen systems,systems,North Las Vegas
Home Instead,Home Instead Senior Care,senior care,"care, senior",Moorpark
The Breakwater,The Breakwater Apartments,apartments,apartments,Huntington Beach
Hanger Clinic,Hanger Clinic: Prosthetics & Orthotics,prosthetics orthotics,"orthotics, prosthetics",Zachary
Batteries Plus,Batteries Plus Bulbs,bulbs,bulbs,Weaverville
United Promotions Inc,United Promotions Inc. Photo Lab,photo lab,"lab, photo",Charlotte
La Azotea,La Azotea Terraza,terraza,terraza,Tlaxco
Dias Park,Dias Park Estacionamento,estacionamento,estacionamento,Santo André
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,engenharia,Guarulhos
Ponto Xis,Ponto Xis Lanches,lanches,lanches,Campos Novos
Floripa Sucos,Floripa Sucos e Lanches,e lanches,lanches,Florianópolis
Academia Performance,Academia Performance & Saúde,saude,saude,São Miguel do Oeste
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,eatery,Durbanville
The Fairways at San Marcos,The Fairways at San Marcos Apartments,apartments,apartments,Chandler
Abbington Landing,Abbington Landing Apartments,apartments,apartments,Newport News
Elk River Medical,Elk River Medical Associates,associates,associates,Banner Elk
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,group,Zephyrhills
Alcosa,ALCOSA ENGINEERING LTD,engineering ltd,engineering,Wymondham
Cacciani,Cacciani Ristorante,ristorante,ristorante,Frascati
LUSH,LUSH Cosmetics Düsseldorf,cosmetics dusseldorf,cosmetics,Düsseldorf
DomusVi,DomusVi Domicile Saint-Germain-en-Laye,domicile saintgermainenlaye,domicile,Saint-Germain-en-Laye
AT&T,AT&T Store,store,store,Oakland
Sausalito,Sausalito Bar,bar,bar,Madrid
Roosters,Rooster's Restaurant,restaurant,restaurant,Jackson
Indigo,Indigo Apartments,apartments,apartments,Phoenix
Etcetera,Etcetera BAR,bar,bar,Santa Cruz de la Sierra
Applebee's,Applebee's Grill + Bar,grill bar,"bar, grill",New Hope
