short_name,long_name,extra_content,biz_matches,loc_reason,already_in_h4,city,id
Pharmasave Holyrood,Pharmasave Holyrood Pharmacy and Telehealth Medical Clinic,pharmacy and telehealth medical clinic,"clinic, medical, pharmacy",proper_noun:telehealth,False,Edmonton,08f12ecc8371475e037d414c3de7ba87
Vegano Bio,Vegano Bio - Shop Online Prodotti Vegani,shop online prodotti vegani,shop,proper_noun:online,False,Pesaro,08f1ea300a1a88660316466765fa0600
Party City,Party City Southridge Mall,southridge mall,mall,proper_noun:southridge,False,Des Moines,08f260d84244933003336dab587f799b
Maumelle High School,Maumelle High School Media Center,media center,center,proper_noun:media,False,Maumelle,08f265b4a49aad8403c807ff79640e5b
Craig Bagley,Craig Bagley - State Farm Insurance Agent,state farm insurance agent,"agent, insurance",proper_noun:state,False,Weatherford,08f26ca313c502a9031d8fb25ecda7a4
Olive Garden,Olive Garden Italian Restaurant,italian restaurant,restaurant,proper_noun:italian,False,Midland,08f274ca76c9c9810323067e2b9f2f53
LOOKING GLASS,Looking Glass Beachfront Inn,beachfront inn,inn,proper_noun:beachfront,False,Grand Haven,08f274e2c50a00ae0386ed65974359d1
Arthur Murray,Arthur Murray Dance Studio - Beaverton,dance studio beaverton,"dance, studio",proper_noun:beaverton,True,Beaverton,08f28f01514b200203d6fc2e65ce45d4
Olive Garden,Olive Garden Italian Restaurant,italian restaurant,restaurant,proper_noun:italian,False,Montclair,08f29a0ade58944c0388ba4b6839fe2d
Waterbury Career Academy,Waterbury Career Academy High School,high school,school,proper_noun:high,False,Waterbury,08f2a143a2aea428033ac8f069c43517
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,arena,proper_noun:ice,False,Charleston,08f2a9cae147308803ab0eca95c449e6
Thomas Sporer,"Thomas Sporer - Ameriprise Financial Services, LLC",ameriprise financial services llc,services,proper_noun:ameriprise,False,Honesdale,08f2aa5b6a3a1c9303ace1cc205565a5
Me n Moms,Me n Moms Baby Care & Kids Store in Barasar,baby care kids store in barasar,"care, store",spatial_prep,True,Kolkata,08f3cf28a84b06de03f07dff38c60faa
The Coffee Corner,The Coffee Corner (Hermitage mall),hermitage mall,mall,proper_noun:hermitage,False,Paramaribo,08f5f1c34bc3419903e2d20614543143
Micronova IT Group,"Micronova IT Group - Internet Leased Lines, Internet Data Center, Managed IT Services",internet leased lines internet data center managed it services,"center, services",proper_noun:internet,False,Bengaluru,08f60145a6114b260336957abd9b35b7
