agreement_type,id,alt_primary,base_primary,alt_names_json,base_names_json,alt_address,base_address,city,state,alt_confidence,base_confidence
full_agreement,08f088557537354903c275dd5a290659,Scandic CH,Scandic CH,"{""primary"":""Scandic CH""}","{""primary"":""Scandic CH""}",Nygatan 45,Nygatan 45,Gävle,,0.9962614185921548,0.77
full_agreement,08f121ba1a6ed7b103673c4bbcf8bf73,Bannister GP Kia,Bannister GP Kia,"{""primary"":""Bannister GP Kia""}","{""primary"":""Bannister GP Kia""}",11806 99 Ave,11806 99 Ave,Grande Prairie,AB,0.77,0.77
full_agreement,08f12ccd550310a30379d144bdd1f4aa,Alberta Gymnastics Federation,Alberta Gymnastics Federation,"{""primary"":""Alberta Gymnastics Federation""}","{""primary"":""Alberta Gymnastics Federation""}",550 71 Ave SE,"170, 550 71 St SE",Calgary,AB,0.9918379237288135,0.77
full_agreement,08f12db0d9c6137103d4a617c7e2dcff,Zumiez,Zumiez,"{""primary"":""Zumiez""}","{""primary"":""Zumiez""}",4750 N Division St,4750 N Division St Ste 156,Spokane,WA,0.9962614185921548,0.77
full_agreement,08f12ec5266ae8600324ada1a869584e,Ardene,Ardene,"{""primary"":""Ardene""}","{""primary"":""Ardene""}",2331 66 St NW,"2331 66 Street Northwest, 306",Edmonton,AB,0.9962614185921548,0.77
full_agreement,08f194042c90cb2c03aefebf4fee758f,Evri ParcelShop,Evri ParcelShop,"{""primary"":""Evri ParcelShop""}","{""primary"":""Evri ParcelShop""}",91 Ings Road,91 Ings Road,Hull,,0.77,0.77
full_agreement,08f19424ccc1e0820363bbececd4900d,Evri ParcelShop,Evri ParcelShop,"{""primary"":""Evri ParcelShop""}","{""primary"":""Evri ParcelShop""}",385 Ashton Road,385 Ashton Road,Oldham,,0.77,0.77
full_agreement,08f19428e0cc9691030adb2836c18908,McDonald's,McDonald's,"{""primary"":""McDonald's""}","{""primary"":""McDonald's""}",THREE LAKES RETAIL PARK,"Three Lakes Retail Park, Bawtry Road",Selby,,0.9962614185921548,0.77
full_agreement,08f194855a68525c032b1c6022501687,Pizza Hut Delivery,Pizza Hut Delivery,"{""primary"":""Pizza Hut Delivery""}","{""primary"":""Pizza Hut Delivery""}",128 Sandgate Road,128 Sandgate Road,Folkestone,ENG,0.9918379237288135,0.77
full_agreement,08f194a06041038003a636dc09097cf7,R2B Business Solutions,R2B Business Solutions,"{""primary"":""R2B Business Solutions""}","{""primary"":""R2B Business Solutions""}","Courtyard Offices, Town House, Market Street","Courtyard Offices, Town House, Market Street",,,0.9763829787234043,0.77
full_agreement,08f194ac2641827303a8c9d8d0f63cfb,Paddy Power,Paddy Power,"{""primary"":""Paddy Power""}","{""primary"":""Paddy Power""}",229 London Road,229-231 London Road,Croydon,ENG,0.9877528662420382,0.77
full_agreement,08f194ad0131a06b031c2633af407eb2,Resolution Roofing,Resolution Roofing,"{""primary"":""Resolution Roofing""}","{""primary"":""Resolution Roofing""}",24 Brookehowse Road,24 Brookehowse Road,London,,0.77,0.77
full_agreement,08f194ad1640caae0374357bf0bb336d,Fenix Funeral,Fenix Funeral,"{""primary"":""Fenix Funeral""}","{""primary"":""Fenix Funeral""}",55-57 Sloane Avenue,55-57 Sloane Avenue,London,,0.77,0.77
full_agreement,08f194adab32588d030bf3e6651babcf,Geoffrey Nathan Associates,Geoffrey Nathan Associates,"{""primary"":""Geoffrey Nathan Associates""}","{""primary"":""Geoffrey Nathan Associates""}",112 Morden Road,112 Morden Road,London,ENG,0.9895134099616858,0.77
full_agreement,08f194e6e9552d2b03d67ae015440155,Bill's Bluewater Restaurant,Bill's Bluewater Restaurant,"{""primary"":""Bill's Bluewater Restaurant""}","{""primary"":""Bill's Bluewater Restaurant""}",100 Bluewater Pkwy,"Bluewater, Bluewater Parkway",,,0.9877528662420382,0.77
full_agreement,08f195194a502b710392012516a657c1,Johnstone's Decorating Centre,Johnstone's Decorating Centre,"{""primary"":""Johnstone's Decorating Centre""}","{""primary"":""Johnstone's Decorating Centre""}","Unit 2, 3 Carlisle St","Unit 2-3, Carlisle Street",,,0.9918379237288135,0.77
full_agreement,08f1951b4b8939820392d42fadf7bf37,Howarth Timber & Building Supplies,Howarth Timber & Building Supplies,"{""primary"":""Howarth Timber & Building Supplies""}","{""primary"":""Howarth Timber & Building Supplies""}",Countess Ave,"Countess Avenue, Cheadle Hulme",,,0.9877528662420382,0.77
full_agreement,08f1954d312ca57303c50dacaec92828,Seven Spices,Seven Spices,"{""primary"":""Seven Spices""}","{""primary"":""Seven Spices""}","136 Manse Road, Newmains","136 Manse Road, Newmains",Wishaw,,0.77,0.77
full_agreement,08f19556407113a20388e06cb7d15a6f,Lancaster Chiropractic Clinic,Lancaster Chiropractic Clinic,"{""primary"":""Lancaster Chiropractic Clinic""}","{""primary"":""Lancaster Chiropractic Clinic""}",123 Scotforth Road,123 Scotforth Road,Lancaster,ENG,0.9918379237288135,0.77
full_agreement,08f1955d81619a8803fe1b049d874c96,Embrace Financial Services,Embrace Financial Services,"{""primary"":""Embrace Financial Services""}","{""primary"":""Embrace Financial Services""}",19 Fisher Street,19 Fisher Street,Carlisle,ENG,0.9895134099616858,0.77
full_agreement,08f19583b0c5404303de9785ceaee7ef,The Old Star,The Old Star,"{""primary"":""The Old Star""}","{""primary"":""The Old Star""}",Pye Cor,Pye Corner,,,0.9895134099616858,0.77
full_agreement,08f1958c2b10c541038aee2bfe17b7a0,Wye Water Services,Wye Water Services,"{""primary"":""Wye Water Services""}","{""primary"":""Wye Water Services""}","14C Rockfield Rd, Hr1 2Ua",14C Rockfield Road,Hereford,Herefordshire,0.77,0.77
full_agreement,08f1959122223af0034a3db45eff5514,The Kings Head,The Kings Head,"{""primary"":""The Kings Head""}","{""primary"":""The Kings Head""}",Main Rd,"Main Road, Hurlsey",,,0.9962614185921548,0.77
full_agreement,08f19591706c64da03129d164b8f37ea,Costa Coffee,Costa Coffee,"{""primary"":""Costa Coffee""}","{""primary"":""Costa Coffee""}",Tollbar Way,"Next, Hedge End Retail Park, Charles Watts Way",Southampton,,0.9962614185921548,0.77
full_agreement,08f195988b898d64034008cac3a910aa,"A, D8 UK Ltd.","A, D8 UK Ltd.","{""primary"":""A, D8 UK Ltd.""}","{""primary"":""A, D8 UK Ltd.""}",37-39 Southgate Street,"Southgate Chambers, 37/39 Southgate Street",Winchester,Hampshire,0.8359792626728111,0.77
full_agreement,08f1959b8e6099a80376e30d9f0ffc74,Electric Center,Electric Center,"{""primary"":""Electric Center""}","{""primary"":""Electric Center""}","Unit 8, Mountbatten Business Park, Jackson Cl","Unit 8, Mountbatten Business Park, Jackson Close, Farlington",,,0.9895134099616858,0.77
full_agreement,08f1959ba9388a2d03837ddf4c8df4de,Bookends,Bookends,"{""primary"":""Bookends""}","{""primary"":""Bookends""}",7 High Street,7 High Street,Emsworth,,0.77,0.77
full_agreement,08f195b614a70ba603c3acc5ff81ea94,ItsSo Travel Torquay,ItsSo Travel Torquay,"{""primary"":""ItsSo Travel Torquay""}","{""primary"":""ItsSo Travel Torquay""}",38 Fore Street,"38 Fore Street, St Marychurch",Torquay,ENG,0.9918379237288135,0.77
full_agreement,08f195bc5ca82d0e03aa687209b92b3a,Hydramatic,Hydramatic,"{""primary"":""Hydramatic""}","{""primary"":""Hydramatic""}","Unit 1j, Castle Rd",Unit 1J Castle Rd,,,0.9828411287205256,0.77
full_agreement,08f195c0a02a5b1603f7b7d894823773,Bridge Inn,Bridge Inn,"{""primary"":""Bridge Inn""}","{""primary"":""Bridge Inn""}",22 High Green,"22 High Green, Brewood",Stafford,ENG,0.9962614185921548,0.77
full_agreement,08f195c2b6063c89030a9ac1d6daafc7,Bromsgrove Computer Centre,Bromsgrove Computer Centre,"{""primary"":""Bromsgrove Computer Centre""}","{""primary"":""Bromsgrove Computer Centre""}",10 Mill Lane,10 Mill Lane,Bromsgrove,ENG,0.9962614185921548,0.77
full_agreement,08f195cacc4a555003fe8e0897317627,My Key Machine,My Key Machine,"{""primary"":""My Key Machine""}","{""primary"":""My Key Machine""}",Brandon Road,"B&Q, Coventry, Brandon Road, West Midlands",Coventry,,0.77,0.77
full_agreement,08f195da48ac889c038925b03f3b7b34,The Prince Regent,The Prince Regent,"{""primary"":""The Prince Regent""}","{""primary"":""The Prince Regent""}",71 Marylebone High Street,71 Marylebone High St,London,ENG,0.997898979043525,0.77
full_agreement,08f196909b32dade031a76f33206caea,PLUS,PLUS,"{""primary"":""PLUS""}","{""primary"":""PLUS""}",Nedereind 10,Nedereind 10,Nieuwegein,,0.9962614185921548,0.77
full_agreement,08f196dc19cec29e039c393b80faafaf,Warenhuis Pijnacker,Warenhuis Pijnacker,"{""primary"":""Warenhuis Pijnacker""}","{""primary"":""Warenhuis Pijnacker""}",Hoofdstraat 46,"Hoofdstraat, 46",Ferwert,,0.997898979043525,0.77
full_agreement,08f19720cbaa3b660386c115e8b91270,Motability Scheme at Edinburgh Mobility Solutions,Motability Scheme at Edinburgh Mobility Solutions,"{""primary"":""Motability Scheme at Edinburgh Mobility Solutions""}","{""primary"":""Motability Scheme at Edinburgh Mobility Solutions""}",2-4 Henderson Street,"2-4 Henderson Street, Leith",Edinburgh,,0.77,0.77
full_agreement,08f197275484205c03f62ba484d5606b,Burger King,Burger King,"{""primary"":""Burger King""}","{""primary"":""Burger King""}",Edinburgh Airport,Edinburgh Airport,Edinburgh,,0.9962614185921548,0.77
full_agreement,08f197322caf32aa03d91c4f98d80cdb,Snow + Rock Newcastle,Snow + Rock Newcastle,"{""primary"":""Snow + Rock Newcastle""}","{""primary"":""Snow + Rock Newcastle""}",60 Northumberland Street,60-62 Northumberland Street,Newcastle upon Tyne,ENG,0.9918379237288135,0.77
full_agreement,08f19732692056dd03101f3e1a65880b,Simon Smith Design,Simon Smith Design,"{""primary"":""Simon Smith Design""}","{""primary"":""Simon Smith Design""}",Colliery Lane,Colliery Lane,Houghton Le Spring,,0.77,0.77
full_agreement,08f1e040c5c034a403d1b2a7d8a97f60,Lidl,Lidl,"{""primary"":""Lidl""}","{""primary"":""Lidl""}",Neffova 299/1,Neffova 299,Lipník nad Bečvou,71,0.9523423423423424,0.77
full_agreement,08f1e0e12dd4da4d035718ac12e555f1,Zenit Panzió,Zenit Panzió,"{""primary"":""Zenit Panzió""}","{""primary"":""Zenit Panzió""}",Miskolctapolcai út 25,Miskolctapolcai út 25-27,Miskolc,,0.9523423423423424,0.77
full_agreement,08f1e15b73ce531b03ec071d30dc52af,Merak,Merak,"{""primary"":""Merak""}","{""primary"":""Merak""}",Mariahilfer Straße 139,Mariahilfer Straße 139,Wien,,0.9962614185921548,0.77
full_agreement,08f1e32073664d8e03a9627c0f7807a8,Sparkasse Oberösterreich - SB-Standort,Sparkasse Oberösterreich - SB-Standort,"{""primary"":""Sparkasse Oberösterreich - SB-Standort""}","{""primary"":""Sparkasse Oberösterreich - SB-Standort""}",Haibach/Schärding 9,Haibach/Schärding 9,Freinberg,,0.77,0.77
full_agreement,08f1e8374858e368033f10fc41b9e7f8,Drive In Pozzuoli,Drive In Pozzuoli,"{""primary"":""Drive In Pozzuoli""}","{""primary"":""Drive In Pozzuoli""}","Contrada La Schiana, 21","Contrada la Schiana, 21",Pozzuoli,72,0.9919372693726938,0.77
full_agreement,08f1e85c26d3662c03dc76c1ec1e7cb6,Gelateria Carnevali,Gelateria Carnevali,"{""primary"":""Gelateria Carnevali""}","{""primary"":""Gelateria Carnevali""}","Corso Italia, 57, 62022 Castelraimondo MC, Italia","Corso Italia, 57",Castelraimondo,57,0.9962614185921548,0.77
full_agreement,08f1e880c6c242a5035ee2cc4cc4b6ce,Dan John Bari,Dan John Bari,"{""primary"":""Dan John Bari""}","{""primary"":""Dan John Bari""}","Via Sparano da Bari, 82",Via Sparano 82/86,Bari,75,0.9962614185921548,0.77
full_agreement,08f1e9d95207154103b78c6ef3eeb8f9,Yamamay,Yamamay,"{""primary"":""Yamamay""}","{""primary"":""Yamamay""}","Corso Vittorio Emanuele, 17",Corso Vittorio Emanuele 17/19/21,Castellammare di Stabia,72,0.9877528662420382,0.77
full_agreement,08f1eb5ba8ba504603b783a90e1e34e9,Elettrauto Autoelettrica,Elettrauto Autoelettrica,"{""primary"":""Elettrauto Autoelettrica""}","{""primary"":""Elettrauto Autoelettrica""}","Viale 20 Settembre, 285","Viale XX Settembre, 285",Carrara,52,0.9962614185921548,0.77
full_agreement,08f1ec910c842640034df1e3402ae066,Shell,Shell,"{""primary"":""Shell""}","{""primary"":""Shell""}",,Kemerburgaz Caddesi Merkez Mahallesi,,,0.9523423423423424,0.77
full_agreement,08f1f0204831024203a8625d51944196,LED Nord,LED Nord,"{""primary"":""LED Nord""}","{""primary"":""LED Nord""}",An d. Crivitzer Ch 1,An Der Crivitzer Chaussee 1,,,0.9763829787234043,0.77
full_agreement,08f1f02580711558032beb326920b8cf,Gehrhus Immobilien e.K.,Gehrhus Immobilien e.K.,"{""primary"":""Gehrhus Immobilien e.K.""}","{""primary"":""Gehrhus Immobilien e.K.""}",Von-Eichendorff-Straße 28,Von-Eichendorff-Str. 28,Adendorf,,0.9895134099616858,0.77
full_agreement,08f1f060364236ce03961b6cf162c389,Netto Marken-Discount,Netto Marken-Discount,"{""primary"":""Netto Marken-Discount""}","{""primary"":""Netto Marken-Discount""}",Claus-Sinjen-Straße 33,Claus-Sinjen-Str. 33,Kronshagen,,0.9918379237288135,0.77
full_agreement,08f1f0b44e466a0103f39fa87dc0107b,Punkt sprzedaży Plus i Polsat Box,Punkt sprzedaży Plus i Polsat Box,"{""primary"":""Punkt sprzedaży Plus i Polsat Box""}","{""primary"":""Punkt sprzedaży Plus i Polsat Box""}",Mieczysława Jeżyka 2A,Mieczysława Jeżyka 2A,Wągrowiec,,0.77,0.77
full_agreement,08f1f1378c0a3099031ca9190f453c3a,Architekturbüro Volkmer Planung + Bauleitung,Architekturbüro Volkmer Planung + Bauleitung,"{""primary"":""Architekturbüro Volkmer Planung + Bauleitung""}","{""primary"":""Architekturbüro Volkmer Planung + Bauleitung""}",Am Wittenborn 70,Am Wittenborn 70,Hann. Münden,,0.77,0.77
full_agreement,08f1f142a41a198303af4fc1dd85450c,Ratskeller Oldenburg,Ratskeller Oldenburg,"{""primary"":""Ratskeller Oldenburg""}","{""primary"":""Ratskeller Oldenburg""}",Markt 1,Markt 1,Oldenburg (Oldb.),,0.9962614185921548,0.77
