tier1,tier2_subtags,id,alt_name,base_name,alt_len,base_len,len_diff_base_minus_alt,alt_word_count,base_word_count,word_diff_base_minus_alt,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence,alt_sources,base_sources,alt_has_trailing_number,base_has_trailing_number,alt_has_biz_suffix,base_has_biz_suffix,alt_has_seo,base_has_seo,alt_excessive_length,base_excessive_length
casing_only,"",08f186db6aa752580326ded79000b83b,Bouquet D'Art,Bouquet d'Art,13,13,0,2,2,0,34 Rue de la Réunion,34 rue de la Reunion,Montluçon,,arts_and_entertainment,,0.3941504178272981,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""154981177881035"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.39415041782729804}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""11e98d0051ef44b3e96ba91b"",""update_time"":""2024-07-03T00:00:00.000"",""confidence"":1.0}]",false,false,false,false,false,false,false,false
casing_only,"",08f1e35418b8115d03d75b4f91514ad7,ROSSMANN,Rossmann,8,8,0,1,1,0,Sokolovská 192/79,Sokolovská 28/77,Praha,PR,drugstore,Retail > Drugstore,0.9129297146833681,1.0,"[{""property"":"""",""dataset"":""Microsoft"",""record_id"":""562949966377292"",""update_time"":""2024-12-17T16:28:37.163Z"",""confidence"":0.77},{""property"":""/properties/existence"",""dataset"":""meta"",""record_id"":""104715891191795"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.6214335421016005}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4f32830fe4b0f99d896b9160"",""update_time"":""2023-12-21T00:00:00.000"",""confidence"":1.0}]",false,false,false,false,false,false,false,false
casing_only,"",08f1e8081c64bb810386cf12e531f92f,Il Mestiere Di Viaggiare,Il Mestiere di Viaggiare,24,24,0,4,4,0,"Viale dei Flavi, 20a",Viale dei Flavi 20 a,Rieti,62,travel_services,Travel and Transportation > Travel Agency,0.9544061302681992,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""563691673645630"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.9544061302681992}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""d207fb97e7819170d45a5fa0"",""update_time"":""2024-07-03T00:00:00.000"",""confidence"":1.0}]",false,false,false,false,false,false,false,false
casing_only,"",08f1e81524a908a903f3d06fcc44832b,Osteria Del Tempo Perso,Osteria del Tempo Perso,23,23,0,4,4,0,"Vico del Vecchio, 7",Vico del Vecchio 7,Sulmona,65,pizza_restaurant,Dining and Drinking > Restaurant > Pizzeria,0.9837452982267598,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""214712075307041"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.9837452982267598}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4c53113930f92d7f3aac2eb8"",""update_time"":""2024-07-03T00:00:00.000"",""confidence"":1.0}]",false,false,false,false,false,false,false,false
casing_only,"",08f1e8331a21da2b03ae617db4b7b01c,Conad,CONAD,5,5,0,1,1,0,"Via Don Mario Carrese, 10",VIA SANTA MARIA NUOVA 31,San Tammaro,72,supermarket,supermarket,0.9895134099616858,0.77,"[{""property"":"""",""dataset"":""meta"",""record_id"":""106549911008318"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""844424934099564"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374888389064"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""1407374888389064"",""update_time"":""2022-09-22T13:13:19.183"",""confidence"":0.77}]",false,false,false,false,false,false,false,false
casing_only,"",08f1ea559883492c03bf7e33805a4382,Un sogno verde,Un Sogno Verde,14,14,0,3,3,0,"Via Molinella, 83",Via Molinella 83 1,Pianiga,34,gardener,Retail > Garden Center,0.23154848046309695,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""289790044455413"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.23154848046309695}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""cec13e911fc4484bbce0fb9d"",""update_time"":""2024-07-03T00:00:00.000"",""confidence"":1.0}]",false,false,false,false,false,false,false,false
casing_only,"",08f1ea59834b6122035ebaf7626dd4a6,24H ARTIGIAN RIPARAZIONE FABBRI - IDRAULICI - ELETTRICISTI,24H Artigian Riparazione Fabbri - Idraulici - Elettricisti,58,58,0,8,8,0,"Via Roma, 37",Via Roma 37,Alpago,BL,key_and_locksmith,,0.77,1.0,"[{""property"":"""",""dataset"":""Microsoft"",""record_id"":""562949964965447"",""update_time"":""2024-01-11T06:59:46.770Z"",""confidence"":0.77}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""ee60e0ba792c73026450c6f9"",""update_time"":""2024-07-03T00:00:00.000"",""confidence"":1.0}]",false,false,false,false,false,false,false,false
casing_only,"",08f1f188488e1ca603e40f22bf79c53d,Caretherapie24,caretherapie24,14,14,0,1,1,0,Hollandweg 24,Hollandweg 24,Teltow,,physical_therapy,physical_therapy,0.9828411287205256,0.77,"[{""property"":"""",""dataset"":""meta"",""record_id"":""101466619345962"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374890119168"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""1407374890119168"",""update_time"":""2024-11-28T02:53:26.913"",""confidence"":0.77}]",false,false,false,false,false,false,false,false
casing_only,"",08f1f1a891a75b4b032b37e00bc5dd40,MAMMOET Deutschland GmbH,Mammoet Deutschland GmbH,24,24,0,3,3,0,Am Haupttor 3737,Am Haupttor 3737,Leuna,"",crane_services,Retail > Miscellaneous Store,0.8806389610389611,1.0,"[{""property"":"""",""dataset"":""Microsoft"",""record_id"":""562949959861172"",""update_time"":""2023-08-01T17:03:15.120Z"",""confidence"":0.77},{""property"":""/properties/existence"",""dataset"":""meta"",""record_id"":""1461510193870344"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.48103896103896104}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""58727ecbd60c8b3454eae000"",""update_time"":""2024-10-08T00:00:00.000"",""confidence"":1.0}]",false,false,true,true,false,false,false,false
casing_only,"",08f1f1d48a5b2142035cc7d4a73eb746,Das Küchenhaus Uwe Zoch GmbH,das küchenhaus uwe zoch GmbH,28,28,0,5,5,0,Fuggerstr. 43,Fuggerstr. 43-45,Berlin,Berlin,kitchen_remodeling,kitchen_remodeling,0.77,0.77,"[{""property"":"""",""dataset"":""msft"",""record_id"":""844424932371096"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949960768255"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1970324840291424"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374886644424"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""562949960768255"",""update_time"":""2024-09-20T09:54:04.727"",""confidence"":0.77}]",false,false,true,true,false,false,false,false
