conflict_type,selected_source,selection_reason,selected_name,extra_content,id,alt_name,base_name,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence,alt_sources,base_sources
agreement,agreement,both_sides_identical,Scandic CH,"",08f088557537354903c275dd5a290659,Scandic CH,Scandic CH,Nygatan 45,Nygatan 45,Gävle,,hotel,resort,0.9962614185921548,0.77,"[{""property"":"""",""dataset"":""meta"",""record_id"":""103638213047870"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""281474979775993"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""281474979775993"",""update_time"":""2024-06-08T11:44:38.06"",""confidence"":0.77}]"
agreement,agreement,both_sides_identical,Bannister GP Kia,"",08f121ba1a6ed7b103673c4bbcf8bf73,Bannister GP Kia,Bannister GP Kia,11806 99 Ave,11806 99 Ave,Grande Prairie,AB,auto_parts_and_supply_store,auto_parts_and_supply_store,0.77,0.77,"[{""property"":"""",""dataset"":""msft"",""record_id"":""2251799821535704"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""2251799821186424"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374891417813"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912449598"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""1407374891417813"",""update_time"":""2024-12-21T18:14:32.69"",""confidence"":0.77}]"
agreement,agreement,both_sides_identical,Alberta Gymnastics Federation,"",08f12ccd550310a30379d144bdd1f4aa,Alberta Gymnastics Federation,Alberta Gymnastics Federation,550 71 Ave SE,"170, 550 71 St SE",Calgary,AB,community_services_non_profits,active_life,0.9918379237288135,0.77,"[{""property"":"""",""dataset"":""meta"",""record_id"":""356728072868"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849866535057"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""1688849866535057"",""update_time"":""2024-11-05T22:05:32.317"",""confidence"":0.77}]"
agreement,agreement,both_sides_identical,Edward Jones,"",08f12d87937886ed03cf23f162e10f02,Edward Jones,Edward Jones,309 S Main St,522 S Main St,Colville,WA,financial_advising,Business and Professional Services > Financial Service > Financial Planner,0.9837452982267598,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""104818907844516"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.9837452982267598}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""73e0680838c84d080d1faa86"",""update_time"":""2023-12-01T00:00:00.000"",""confidence"":1.0}]"
agreement,agreement,both_sides_identical,Zumiez,"",08f12db0d9c6137103d4a617c7e2dcff,Zumiez,Zumiez,4750 N Division St,4750 N Division St Ste 156,Spokane,WA,men's_clothing_store,clothing_store,0.9962614185921548,0.77,"[{""property"":"""",""dataset"":""meta"",""record_id"":""171646943514878"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""844424932269471"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949955335207"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949955156730"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""2251799818945109"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849866146182"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374885696050"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""1688849866146182"",""update_time"":""2024-12-18T16:22:32.33"",""confidence"":0.77}]"
agreement,agreement,both_sides_identical,Ardene,"",08f12ec5266ae8600324ada1a869584e,Ardene,Ardene,2331 66 St NW,"2331 66 Street Northwest, 306",Edmonton,AB,clothing_store,t_shirt_store,0.9962614185921548,0.77,"[{""property"":"""",""dataset"":""meta"",""record_id"":""134922157175163"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374886982125"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899908962040"",""update_time"":""2025-01-06T00:00:00.000Z""}]","[{""dataset"":""Microsoft"",""record_id"":""1407374886982125"",""update_time"":""2024-10-18T08:29:11.27"",""confidence"":0.77}]"
agreement,agreement,both_sides_identical,Bar des Sports,"",08f18615206a2044031332a453760f15,Bar des Sports,Bar des Sports,17 Grande Rue,17 la Grande rue,Lassay-les-Châteaux,,bar,Dining and Drinking > Bar,0.9544061302681992,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""112796048159799"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.9544061302681992}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""de153c4f095a4e91c53f7d3f"",""update_time"":""2024-07-03T00:00:00.000"",""confidence"":1.0}]"
agreement,agreement,both_sides_identical,Les Suites du Littoral,"",08f18627ad9a9c9503be1254988406fa,Les Suites du Littoral,Les Suites du Littoral,2 Hent Bihan,2 rue Bihan,Plouézec,,holiday_rental_home,Travel and Transportation > Lodging > Vacation Rental,0.9467515923566879,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""104002452535772"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.9467515923566879}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""9d39e754c15a9e9b5e64d129"",""update_time"":""2024-07-02T00:00:00.000"",""confidence"":1.0}]"
agreement,agreement,both_sides_identical,Union et Concorde Bricquebetaise Cyclisme,"",08f1866359555680037318b862284223,Union et Concorde Bricquebetaise Cyclisme,Union et Concorde Bricquebetaise Cyclisme,avenue de la Gare,avenue de la Gare,,,gym,Sports and Recreation > Gym and Studio,0.28686635944700467,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""221574228325304"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.2868663594470046}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""a5e59cc9983b498344b5b742"",""update_time"":""2024-07-03T00:00:00.000"",""confidence"":1.0}]"
agreement,agreement,both_sides_identical,Collège Maurice Chastang,"",08f186b554c4e0ce03502e62836c2157,Collège Maurice Chastang,Collège Maurice Chastang,10 Rue de la Terrière,10 rue de la Terrière,Saint-Genis-de-Saintonge,,middle_school,Community and Government > Education,0.9645127118644068,1.0,"[{""property"":"""",""dataset"":""meta"",""record_id"":""109045034058205"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.9645127118644068}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""72970281de2c4bc945433c1d"",""update_time"":""2024-11-10T00:00:00.000"",""confidence"":1.0}]"
