id,alt_name,base_name,alt_len,base_len,len_diff_base_minus_alt,alt_word_count,base_word_count,word_diff_base_minus_alt,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence
08f29ab980d65aa603c367fa02faef76,"Thyssenkrupp Materials North America, Copper and Brass Sales",Thyssenkrupp Materials 025FRS,60,29,-31,8,3,-5,5450 E Home Ave,5450 E Home Ave,Fresno,CA,metal_supplier,Business and Professional Services > Construction,0.9877528662420382,1.0
08f450a1b2d1300a0300a91979dbc1c8,Citibanamex 30 Av. Playa Del Carmen,Citibank,35,8,-27,6,1,-5,,Av. 30,Playa del Carmen,,bank_credit_union,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.48103896103896104,1.0
08f1e84356611acd0351cc53c2f7a806,Effetto Shock snc,Effetto Shok SNC di Foglietta e Cariani,17,39,22,3,7,4,"Via Giovanni Berchet, 2",Via Giovanni Berchet,Foligno,55,hair_salon,Business and Professional Services > Health and Beauty Service > Hair Salon,0.9645127118644068,1.0
08f1f88b7202396b039421a666dddf20,Klecks Schule der Phantasie,KlecksX,27,7,-20,4,1,-3,Untermarkt 65,Untermarkt 65,Wolfratshausen,,school,Community and Government > Education,0.9837452982267598,1.0
08f484a4810584c0038f725bf7429f09,Ferreteria y Madereria La Familia,Ferreteria y Madereria Renta de Maquinaria la Familia,33,53,20,5,8,3,Coral 2293,Coral 2293,Ensenada,,hardware_store,Retail > Hardware Store,0.9445655559015883,1.0
08f2814cd19080c603f2db3b6aecf642,Plumas Pines VACATION HOMES & RENTALS,Plumas Pines Realty,37,19,-18,6,3,-3,307 Poplar Valley Rd,307 Poplar Valley Rd,Blairsden Graeagle,CA,vacation_rental_agents,Business and Professional Services > Real Estate Service > Real Estate Agency,0.77,1.0
08f2aa879200ab960398d7c665470cf4,Comfort Inn Alexandria West - Landmark,Comfort Inn Landmark,38,20,-18,6,3,-3,6254 Duke St,6254 Duke St,Alexandria,VA,hotel,hotel,0.77,0.77
08f1f9020c252d8d035f6ab8998d7212,B&B Hôtels,B&B Hôtel Lyon Ouest Tassin,10,27,17,2,5,3,5 Avenue Victor Hugo,1 avenue Victor Hugo,Tassin-la-Demi-Lune,,hotel,Travel and Transportation > Lodging > Hotel,0.9837452982267598,1.0
08f3f623a4116d4903fe879fe705b16c,Bitezz,Bitez Mandalina Şenliği,6,23,17,1,3,2,Bitez Belediyesi Eski Kademe,,,,event_planning,event_planning,0.28671328671328666,0.28671328671328666
08f4995b926ea6030351c7cdf039096d,Black Mamba Barbershop & Tattoo | Nezahualcóyotl,Black Mamba Barber Shop & Tatto,48,31,-17,7,6,-1,Avenida Central 117,"Av. Central #117 local B",Nezahualcóyotl,MEX,barber,Business and Professional Services > Health and Beauty Service > Hair Salon,0.9837452982267598,1.0
