side,conflict_class,confidence_value,row_count,pct_of_class
alt,alt_only,0.98,31,15.42
alt,alt_only,0.79,21,10.45
alt,alt_only,0.62,20,9.95
alt,alt_only,0.48,19,9.45
alt,alt_only,0.29,15,7.46
alt,alt_only,0.96,14,6.97
alt,alt_only,0.77,14,6.97
alt,alt_only,0.39,14,6.97
alt,alt_only,0.95,11,5.47
alt,alt_only,1.0,11,5.47
alt,alt_only,0.94,9,4.48
alt,alt_only,0.99,8,3.98
alt,alt_only,0.91,6,2.99
alt,alt_only,0.93,3,1.49
alt,alt_only,0.23,3,1.49
alt,alt_only,0.88,1,0.5
alt,alt_only,0.9,1,0.5
alt,base_only,0.77,6,31.58
alt,base_only,0.48,5,26.32
alt,base_only,0.62,5,26.32
alt,base_only,0.39,1,5.26
alt,base_only,0.29,1,5.26
alt,base_only,0.79,1,5.26
alt,both_missing,0.39,22,22.0
alt,both_missing,0.48,19,19.0
alt,both_missing,0.29,18,18.0
alt,both_missing,0.62,10,10.0
alt,both_missing,0.23,8,8.0
alt,both_missing,0.95,8,8.0
alt,both_missing,0.79,4,4.0
alt,both_missing,0.77,4,4.0
alt,both_missing,0.96,2,2.0
alt,both_missing,0.2,2,2.0
alt,both_missing,0.98,2,2.0
alt,both_missing,0.93,1,1.0
alt,resolved_by_normalization,0.77,435,34.04
alt,resolved_by_normalization,1.0,309,24.18
alt,resolved_by_normalization,0.99,160,12.52
alt,resolved_by_normalization,0.98,116,9.08
alt,resolved_by_normalization,0.95,65,5.09
alt,resolved_by_normalization,0.96,46,3.6
alt,resolved_by_normalization,0.79,29,2.27
alt,resolved_by_normalization,0.29,18,1.41
alt,resolved_by_normalization,0.62,17,1.33
alt,resolved_by_normalization,0.48,16,1.25
alt,resolved_by_normalization,0.94,13,1.02
alt,resolved_by_normalization,0.39,13,1.02
alt,resolved_by_normalization,0.91,11,0.86
alt,resolved_by_normalization,0.23,9,0.7
alt,resolved_by_normalization,0.84,4,0.31
alt,resolved_by_normalization,0.88,4,0.31
alt,resolved_by_normalization,0.28,3,0.23
alt,resolved_by_normalization,0.97,3,0.23
alt,resolved_by_normalization,0.87,2,0.16
alt,resolved_by_normalization,0.9,2,0.16
alt,resolved_by_normalization,0.86,2,0.16
alt,resolved_by_normalization,0.2,1,0.08
alt,true_conflict,0.77,133,33.08
alt,true_conflict,1.0,56,13.93
alt,true_conflict,0.98,37,9.2
alt,true_conflict,0.95,33,8.21
alt,true_conflict,0.99,29,7.21
alt,true_conflict,0.79,19,4.73
alt,true_conflict,0.48,18,4.48
alt,true_conflict,0.96,17,4.23
alt,true_conflict,0.62,10,2.49
alt,true_conflict,0.29,10,2.49
alt,true_conflict,0.39,8,1.99
alt,true_conflict,0.91,7,1.74
alt,true_conflict,0.94,7,1.74
alt,true_conflict,0.93,3,0.75
alt,true_conflict,0.23,3,0.75
alt,true_conflict,0.97,2,0.5
alt,true_conflict,0.2,2,0.5
alt,true_conflict,0.87,2,0.5
alt,true_conflict,0.63,1,0.25
alt,true_conflict,0.78,1,0.25
alt,true_conflict,0.86,1,0.25
alt,true_conflict,0.9,1,0.25
alt,true_conflict,0.88,1,0.25
alt,true_conflict,0.28,1,0.25
base,alt_only,1.0,196,97.51
base,alt_only,0.77,4,1.99
base,alt_only,0.91,1,0.5
base,base_only,1.0,13,68.42
base,base_only,0.77,4,21.05
base,base_only,0.29,1,5.26
base,base_only,0.96,1,5.26
base,both_missing,1.0,93,93.0
base,both_missing,0.77,4,4.0
base,both_missing,0.29,2,2.0
base,both_missing,0.62,1,1.0
base,resolved_by_normalization,0.77,812,63.54
base,resolved_by_normalization,1.0,464,36.31
base,resolved_by_normalization,0.95,1,0.08
base,resolved_by_normalization,0.99,1,0.08
base,true_conflict,1.0,234,58.21
base,true_conflict,0.77,159,39.55
base,true_conflict,0.98,2,0.5
base,true_conflict,0.29,2,0.5
base,true_conflict,0.99,1,0.25
base,true_conflict,0.79,1,0.25
base,true_conflict,0.96,1,0.25
base,true_conflict,0.23,1,0.25
base,true_conflict,0.39,1,0.25
