side,conflict_class,bucket,row_count,pct_of_class
alt,alt_only,1.00,11,5.5
alt,alt_only,0.99 – 0.98,39,19.4
alt,alt_only,0.97 – 0.95,25,12.4
alt,alt_only,0.94 – 0.92,12,6.0
alt,alt_only,0.91 – 0.89,7,3.5
alt,alt_only,0.88 – 0.86,1,0.5
alt,alt_only,0.85 – 0.78,21,10.4
alt,alt_only,0.77,14,7.0
alt,alt_only,0.76 – 0.60,20,10.0
alt,alt_only,0.59 – 0.00,51,25.4
alt,base_only,0.85 – 0.78,1,5.3
alt,base_only,0.77,6,31.6
alt,base_only,0.76 – 0.60,5,26.3
alt,base_only,0.59 – 0.00,7,36.8
alt,both_missing,0.99 – 0.98,2,2.0
alt,both_missing,0.97 – 0.95,10,10.0
alt,both_missing,0.94 – 0.92,1,1.0
alt,both_missing,0.85 – 0.78,4,4.0
alt,both_missing,0.77,4,4.0
alt,both_missing,0.76 – 0.60,10,10.0
alt,both_missing,0.59 – 0.00,69,69.0
alt,resolved_by_normalization,1.00,309,24.2
alt,resolved_by_normalization,0.99 – 0.98,276,21.6
alt,resolved_by_normalization,0.97 – 0.95,114,8.9
alt,resolved_by_normalization,0.94 – 0.92,13,1.0
alt,resolved_by_normalization,0.91 – 0.89,13,1.0
alt,resolved_by_normalization,0.88 – 0.86,8,0.6
alt,resolved_by_normalization,0.85 – 0.78,33,2.6
alt,resolved_by_normalization,0.77,435,34.0
alt,resolved_by_normalization,0.76 – 0.60,17,1.3
alt,resolved_by_normalization,0.59 – 0.00,60,4.7
alt,true_conflict,1.00,56,13.9
alt,true_conflict,0.99 – 0.98,66,16.4
alt,true_conflict,0.97 – 0.95,52,12.9
alt,true_conflict,0.94 – 0.92,10,2.5
alt,true_conflict,0.91 – 0.89,8,2.0
alt,true_conflict,0.88 – 0.86,4,1.0
alt,true_conflict,0.85 – 0.78,20,5.0
alt,true_conflict,0.77,133,33.1
alt,true_conflict,0.76 – 0.60,11,2.7
alt,true_conflict,0.59 – 0.00,42,10.4
base,alt_only,1.00,196,97.5
base,alt_only,0.91 – 0.89,1,0.5
base,alt_only,0.77,4,2.0
base,base_only,1.00,13,68.4
base,base_only,0.97 – 0.95,1,5.3
base,base_only,0.77,4,21.1
base,base_only,0.59 – 0.00,1,5.3
base,both_missing,1.00,93,93.0
base,both_missing,0.77,4,4.0
base,both_missing,0.76 – 0.60,1,1.0
base,both_missing,0.59 – 0.00,2,2.0
base,resolved_by_normalization,1.00,464,36.3
base,resolved_by_normalization,0.99 – 0.98,1,0.1
base,resolved_by_normalization,0.97 – 0.95,1,0.1
base,resolved_by_normalization,0.77,812,63.5
base,true_conflict,1.00,234,58.2
base,true_conflict,0.99 – 0.98,3,0.7
base,true_conflict,0.97 – 0.95,1,0.2
base,true_conflict,0.85 – 0.78,1,0.2
base,true_conflict,0.77,159,39.6
base,true_conflict,0.59 – 0.00,4,1.0
