id,conflict_class,alt_raw,base_raw,alt_digits,base_digits,alt_digit_len,base_digit_len,alt_confidence,base_confidence,confidence_diff,confidence_gap,higher_confidence_side
08f44c22860ee72203de832ef8d0362c,alt_only,"[""+17066511751""]",,17066511751,"",11,0,0.2315,1.0,-0.7685,0.7685,base
08f8c1479a51396b0362ec324434f3e5,alt_only,"[""+62222061156""]",,62222061156,"",11,0,0.2315,1.0,-0.7685,0.7685,base
08fa8100d0156298030af89593714320,alt_only,"[""+551143299545""]",,551143299545,"",12,0,0.2315,1.0,-0.7685,0.7685,base
08f1fa905cad86140332d3765d06ced0,alt_only,"[""+4915158732362""]",,4915158732362,"",13,0,0.2867,1.0,-0.7133,0.7133,base
08f39202a178277003362676b3448b11,alt_only,"[""+34607516930""]",,34607516930,"",11,0,0.2867,1.0,-0.7133,0.7133,base
08f480aa6da050920338531a418d7478,alt_only,"[""+526442227275""]",,526442227275,"",12,0,0.2867,1.0,-0.7133,0.7133,base
08f64a4165a58016031f9ced2553db38,alt_only,"[""+66866656247""]",,66866656247,"",11,0,0.2867,1.0,-0.7133,0.7133,base
08f6511b20d0a8e3037c00308b98eef7,alt_only,"[""+60109100883""]",,60109100883,"",11,0,0.2867,1.0,-0.7133,0.7133,base
08f8b221a404320d03b459bdb2275ea1,alt_only,"[""+59178510290""]",,59178510290,"",11,0,0.2867,1.0,-0.7133,0.7133,base
08fa810056a2b6400390bcc253369382,alt_only,"[""+5511983849245""]",,5511983849245,"",13,0,0.2867,1.0,-0.7133,0.7133,base
08fa81c3767b1c0a03138c4ce1229b3f,alt_only,"[""+5514996356838""]",,5514996356838,"",13,0,0.2867,1.0,-0.7133,0.7133,base
08fa835d5acadcd8031eddedfd4b67e8,alt_only,"[""+5547992158494""]",,5547992158494,"",13,0,0.2867,1.0,-0.7133,0.7133,base
08fa884904d5d8aa03650d68d1b1dc18,alt_only,"[""+5522988292584""]",,5522988292584,"",13,0,0.2867,1.0,-0.7133,0.7133,base
08fa91b462cced9b033b481c4d3cc79f,alt_only,"[""+554832254970""]",,554832254970,"",12,0,0.2867,1.0,-0.7133,0.7133,base
08f64a6b4236677403cc793222a2a938,alt_only,"[""+66841409050""]",,66841409050,"",11,0,0.2869,1.0,-0.7131,0.7131,base
08fa8100d98abd1c031cef4f718ca8bd,alt_only,"[""+5511950592998""]",,5511950592998,"",13,0,0.2869,1.0,-0.7131,0.7131,base
08fa81d850658400039e7a529930820b,alt_only,"[""+551434324687""]",,551434324687,"",12,0,0.2869,1.0,-0.7131,0.7131,base
08fa89dda8aa4a4003c010e672fafdbc,alt_only,"[""+553332252188""]",,553332252188,"",12,0,0.2869,1.0,-0.7131,0.7131,base
08f28f5da5c1e45503ed4a9474f21209,alt_only,"[""+15419293061""]",,15419293061,"",11,0,0.3942,1.0,-0.6058,0.6058,base
08f2a8478c48b8c003709bcceff3bbff,alt_only,"[""+14122217000""]",,14122217000,"",11,0,0.3942,1.0,-0.6058,0.6058,base
08f2d1032418c25803ba88528702a04c,alt_only,"[""+105469312255""]",,105469312255,"",12,0,0.3942,1.0,-0.6058,0.6058,base
08f64a4a166366150347a65308f3c1c4,alt_only,"[""+66846439794""]",,66846439794,"",11,0,0.3942,1.0,-0.6058,0.6058,base
08f64a4b1158e39603642fcf610deeb0,alt_only,"[""+66992562561""]",,66992562561,"",11,0,0.3942,1.0,-0.6058,0.6058,base
08f64b504005a58b030db55a839aba58,alt_only,"[""+6656748791""]",,6656748791,"",10,0,0.3942,1.0,-0.6058,0.6058,base
08f6941324903ae4031455cf6893414b,alt_only,"[""+639165441714""]",,639165441714,"",12,0,0.3942,1.0,-0.6058,0.6058,base
08f8116b1e613a4303a020347a4b466b,alt_only,"[""+557134619694""]",,557134619694,"",12,0,0.3942,1.0,-0.6058,0.6058,base
08fa8100cc66655e03e374c185c76a8f,alt_only,"[""+5511987795085""]",,5511987795085,"",13,0,0.3942,1.0,-0.6058,0.6058,base
08fa810384d58c45034826da81df1a9e,alt_only,"[""+5511954074969""]",,5511954074969,"",13,0,0.3942,1.0,-0.6058,0.6058,base
08fa88cd9036b0c0036d29d69fdc49ee,alt_only,"[""+553137859489""]",,553137859489,"",12,0,0.3942,1.0,-0.6058,0.6058,base
08fa8c0ce6c8e6eb035c624cc5d8ca4d,alt_only,"[""+556232492273""]",,556232492273,"",12,0,0.3942,1.0,-0.6058,0.6058,base
08fa9012985008ee0370549c32581fb8,alt_only,"[""+555133282320""]",,555133282320,"",12,0,0.3942,1.0,-0.6058,0.6058,base
08fa95edaa2c99a403a1ec30dcaa0dec,alt_only,"[""+5545999112674""]",,5545999112674,"",13,0,0.3942,1.0,-0.6058,0.6058,base
08f1ec9c434b687503fa4f27961f3e0a,alt_only,"[""+902522124000""]",,902522124000,"",12,0,0.481,1.0,-0.519,0.519,base
08f1f166d246c3290303ee41124b93fa,alt_only,"[""+491736261921""]",,491736261921,"",12,0,0.481,1.0,-0.519,0.519,base
08f1f66a8a38dac2031104017635f17c,alt_only,"[""+37163222453""]",,37163222453,"",11,0,0.481,1.0,-0.519,0.519,base
08f29a42b346999003326b6798be8dc6,alt_only,"[""+17609012694""]",,17609012694,"",11,0,0.481,1.0,-0.519,0.519,base
08f2e2b64130c448034229ed167cb076,alt_only,"[""+818054511627""]",,818054511627,"",12,0,0.481,1.0,-0.519,0.519,base
08f2e6045d4cad5803116b100d18a53d,alt_only,"[""+81586858658""]",,81586858658,"",11,0,0.481,1.0,-0.519,0.519,base
08f485e72235e01c030884cbad7f7a27,alt_only,"[""+526381258948""]",,526381258948,"",12,0,0.481,1.0,-0.519,0.519,base
08f5f1c34bc3419903e2d20614543143,alt_only,"[""+5978789165""]",,5978789165,"",10,0,0.481,1.0,-0.519,0.519,base
08f6482c68d7645503ecec407d8b2c4a,alt_only,"[""+6653232428""]",,6653232428,"",10,0,0.481,1.0,-0.519,0.519,base
08f64a4a14064ce903803216f18dd862,alt_only,"[""+6624033078""]",,6624033078,"",10,0,0.481,1.0,-0.519,0.519,base
08f6505096d0c1b503af0fc23cd0d011,alt_only,"[""+60395202991""]",,60395202991,"",11,0,0.481,1.0,-0.519,0.519,base
08f8c1078a53124603e6f76093a9dc61,alt_only,"[""+622157900254""]",,622157900254,"",12,0,0.481,1.0,-0.519,0.519,base
08fa804d9661cd1903835a640b232157,alt_only,"[""+554135357517""]",,554135357517,"",12,0,0.481,1.0,-0.519,0.519,base
08fa81008d232933037806016bb78307,alt_only,"[""+551129124233""]",,551129124233,"",12,0,0.481,1.0,-0.519,0.519,base
08fa8100ae892ba6038bdb6e49bbe7a3,alt_only,"[""+551123241732""]",,551123241732,"",12,0,0.481,1.0,-0.519,0.519,base
08fa81955b34a9b303580e4545ded3f2,alt_only,"[""+11732243695""]",,11732243695,"",11,0,0.481,1.0,-0.519,0.519,base
08fa976555b951680388c1eb02815b63,alt_only,"[""+555530289860""]",,555530289860,"",12,0,0.481,1.0,-0.519,0.519,base
08fb91682e78eb6803a3b18055780dd1,alt_only,"[""+61872230136""]",,61872230136,"",11,0,0.481,1.0,-0.519,0.519,base
08fbb72ae6111224032728dc57e311d1,alt_only,"[""+6467585015""]",,6467585015,"",10,0,0.481,1.0,-0.519,0.519,base
08f1f80aa95496d5035220a5139bbdd0,alt_only,"[""+33626174731""]",,33626174731,"",11,0,0.6214,1.0,-0.3786,0.3786,base
08f2834711c6c6c803ba1d051d973707,alt_only,"[""+14082887603""]",,14082887603,"",11,0,0.6214,1.0,-0.3786,0.3786,base
08f450accd28936d03732c5a0c289e23,alt_only,"[""+529844496495""]",,529844496495,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08f498c94cd093b20333437c7c397280,alt_only,"[""+523312020707""]",,523312020707,"",12,0,0.6214,1.0,-0.3786,0.3786,base
08f64a092264037403b6ae22af2381c1,alt_only,"[""+66959154153""]",,66959154153,"",11,0,0.6214,1.0,-0.3786,0.3786,base
08f64a4a2674c5210367ee55e1d05e1e,alt_only,"[""+66955966159""]",,66955966159,"",11,0,0.6214,1.0,-0.3786,0.3786,base
08f64a4b8a2182d803efaceee497ac25,alt_only,"[""+66639131526""]",,66639131526,"",11,0,0.6214,1.0,-0.3786,0.3786,base
08f64a4d9eb6d72e033570a0d94c1cee,alt_only,"[""+66861599548""]",,66861599548,"",11,0,0.6214,1.0,-0.3786,0.3786,base
