id,alt_name,base_name,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence,sample_type,label,reason
08f800882b2f106303ab5fa027239c0c,Hospital São Domingos,Hospital São Domingos- Exames,"Avenida Jerônimo de Albuquerque, 540",Av Gerônimo de Albuquerque,São Luís,MA,medical_center,Health and Medicine > Physician > Doctor's Office,0.7927927927927928,1.0,conflict,"",""
562949961114758,WEISSER RING e.V. - Außenstelle Schaumburg,WEISSER RING e.V. - Außenstelle Delmenhorst,Georgswall 3,Georgswall 3,Hannover,Lower Saxony,organization,organization,0.77,0.77,conflict,"",""
1407374888884529,Rewe To Go,REWE,"Ferdinand-Wallbrecht-Straße, Aral",Isernhagener Str. 103-107,Hannover,Lower Saxony,convenience_store,supermarket,0.77,0.77,conflict,"",""
08f60a25956e9c3203cc9c5c8269996d,"PUBLIC location 324234 #%&*",PUBLIC LOCATION NAME EXTERNALID NAME,1766 Palo Verde Ave,1766 Palo Verde Ave,East Palo Alto,CA,,,0.77,0.77,conflict,"",""
1407374885778830,Fitness Together,Fitness Together - Jenks Riverside,9708 Riverside Pkwy Ste D,9708 Riverside Pkwy Ste D,Tulsa,OK,gym,gym,0.77,0.77,conflict,"",""
08f444381a58e79b03f8e497300cac10,Natchez Children's Services,Natchez Children's Home Services,815 N Union St,806 N Union St,Natchez,MS,social_service_organizations,Community and Government > Public and Social Service,0.48103896103896104,1.0,conflict,"",""
08f1e8047491b82203dfd0297fbad6de,Cacciani Ristorante,Cacciani,"Via Armando Diaz, 13",Via Armando Diaz 15 15,Frascati,62,italian_restaurant,Dining and Drinking > Restaurant > Fast Food Restaurant,0.9645127118644068,1.0,conflict,"",""
08fa83136c8188e903b91a34b4994790,Hospital CDOP,Hospital,"Avenida Silva Jardim, 4172",R Silva Jardim 3888,Curitiba,PR,medical_center,Health and Medicine > Hospital,0.7927927927927928,1.0,conflict,"",""
08f2b012cc75b39b03fce7c942009cfc,Carter's,carter's | OshKosh,81 Hector Gate,81 Hector Gate,Halifax,NS,children's_clothing_store,Retail > Fashion Retail > Children's Clothing Store,0.9828411287205256,1.0,conflict,"",""
08f2a10770d340f3034390d148461d38,Brooklyn Basketball Academy,Brooklyn Basketball Academy (BBA),1724 Avenue P,162 E 25th St,New York,NY,sports_club_and_league,Sports and Recreation > Basketball > Basketball Court,0.9649446494464945,1.0,conflict,"",""
08f2a13a949b18c203493817733d9e7d,Barnegat Bay Financial Group,Barnegat Bay Financial Group - Raymond James Office,929 Lacey Rd,929 Lacey Rd,Lacey,NJ,financial_advising,bank_credit_union,0.9872500778573653,0.77,conflict,"",""
08f26561a6018621030d6d13a1a39c49,Pro Car Wash South/North,Pro Car Wash South,300 Park Dr,,Smithville,MO,automotive_repair,Business and Professional Services > Automotive Service > Automotive Repair Shop,0.9908651262761956,1.0,conflict,"",""
08f499096b78cced0379be0c7ed689ef,La Azotea,La Azotea Terraza,Avenida Independencia Nacional 38,Independencia Nacional 13,Tlaxco,,pizza_restaurant,Dining and Drinking > Restaurant > Pizzeria,0.9837452982267598,1.0,conflict,"",""
08f29a401d62442903fec68faae96b67,Structural and Materials Engineering Building,Structural and Materials Engineering (SME),9500 Gilman Dr,9500 Gilman Dr,San Diego,CA,college_university,Community and Government > Education > College and University > College Engineering Building,0.9645127118644068,1.0,conflict,"",""
08f2aac22b2ad5a4030cd86c18d3c250,Mid County Lanes and Entertainment,MID COUNTY LANES,875 N Broad St,875 N BROAD St,Middletown,DE,bowling_alley,fair,0.9962614185921548,0.77,conflict,"",""
08f1e84ab06b5a88032fba924b9dab12,Coop Centro Italia,Coop,Pizza Matteotti,"Piazza Giacomo Matteotti, 15",Perugia,,grocery_store,Retail > Food and Beverage Retail > Supermarket,0.9837452982267598,1.0,conflict,"",""
08f44a9ba64f038d03c3e379ed796485,Bahama Bay Resort,Bahama Bay Resort & Spa,304 Rum Run,400 Gran Bahama Blvd,Davenport,FL,hotel,Travel and Transportation > Lodging > Resort,0.48103896103896104,1.0,conflict,"",""
1407374890902980,Huffines Kia McKinney Service,Huffines Kia McKinney,1201 N Central Expressway,1201 N Central Expy,McKinney,TX,brake_service_and_repair,brake_service_and_repair,0.77,0.77,conflict,"",""
08f498ed76d5c9910311aee52ebc06bc,SUMA LIFT,SUMALIFT,"FRANCISCO DE UREÑA #102",Francisco villa 4321 León 1,León,Guanajuato,industrial_equipment,Business and Professional Services > Business Center,0.77,1.0,conflict,"",""
08f26f4441284853034e61baf325cd7c,Colby Dodge Chrysler Jeep Ram,Colby Dodge Chrysler Jeep,1000 Taylor Ave,1000 Taylor Ave,Colby,KS,car_dealer,used_car_dealer,0.997898979043525,0.77,conflict,"",""
